timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive
1628096202,13.6,64275.6,5820.9,52806.5
1628096203,14.9,64275.6,5820.9,52806.5
1628096204,13.6,64275.6,5820.9,52806.5
1628096205,14.3,64275.6,5820.9,52806.6
1628096206,13.9,64275.6,5820.9,52806.9
1628096207,13.1,64275.6,5820.9,52807.3
1628096208,14.3,64275.6,5820.9,52808.3
1628096209,12.9,64275.6,5820.9,52808.3
1628096210,12.6,64275.6,5820.9,52808.3
1628096211,13.7,64275.6,5820.9,52809.5
1628096212,13.3,64275.6,5820.9,52810.6
1628096213,13.0,64275.6,5820.9,52810.8
1628096214,12.7,64275.6,5820.9,52810.9
1628096215,14.8,64275.6,5820.9,52770.3
1628096216,13.2,64275.6,5820.9,52769.9
1628096217,12.9,64275.6,5820.9,52688.1
1628096218,15.1,64275.6,5820.9,52664.2
1628096219,13.4,64275.6,5820.9,52768.9
1628096220,12.5,64275.6,5820.9,52768.9
1628096221,15.1,64275.6,5820.9,52727.9
1628096222,13.0,64275.6,5820.9,52727.9
1628096223,13.5,64275.6,5820.9,52727.9
1628096224,13.3,64275.6,5820.9,52813.9
1628096225,15.4,64275.6,5820.9,52814.3
1628096226,14.4,64275.6,5820.9,52814.4
1628096227,14.1,64275.6,5820.9,52814.4
1628096228,14.2,64275.6,5820.9,52814.4
1628096229,15.2,64275.6,5820.9,52814.5
1628096230,15.1,64275.6,5820.9,52814.5
1628096231,17.5,64275.6,5820.9,52814.5
1628096232,14.8,64275.6,5820.9,52814.5
1628096233,15.9,64275.6,5820.9,52814.5
1628096234,14.9,64275.6,5820.9,52814.5
1628096235,16.4,64275.6,5820.9,52814.9
1628096236,14.4,64275.6,5820.9,52814.8
1628096237,14.5,64275.6,5820.9,52814.8
1628096238,17.2,64275.6,5820.9,52814.9
1628096239,14.7,64275.6,5820.9,52814.9
1628096240,15.4,64275.6,5820.9,52814.9
1628096241,15.4,64275.6,5820.9,52814.9
1628096242,16.4,64275.6,5820.9,52814.9
1628096243,18.8,64275.6,5820.9,52814.9
1628096244,14.8,64275.6,5820.9,52814.9
1628096245,15.9,64275.6,5820.9,52815.0
1628096246,15.1,64275.6,5820.9,52815.0
1628096247,14.7,64275.6,5820.9,52815.0
1628096248,16.1,64275.6,5820.9,52815.0
1628096249,15.5,64275.6,5820.9,52815.0
1628096250,13.7,64275.6,5820.9,52816.0
1628096251,14.9,64275.6,5820.9,52815.0
1628096252,13.0,64275.6,5820.9,52815.0
1628096253,13.9,64275.6,5820.9,52815.0
1628096254,13.4,64275.6,5820.9,52815.0
1628096255,13.7,64275.6,5820.9,52816.4
1628096256,13.8,64275.6,5820.9,52840.8
1628096257,13.4,64275.6,5820.9,52840.9
1628096258,13.3,64275.6,5820.9,52840.9
1628096259,13.0,64275.6,5820.9,52840.9
1628096260,13.5,64275.6,5820.9,52815.2
1628096261,15.3,64275.6,5820.9,52815.1
1628096262,12.8,64275.6,5820.9,52815.1
1628096263,14.8,64275.6,5820.9,52815.1
1628096264,13.5,64275.6,5820.9,52815.1
1628096265,14.5,64275.6,5820.9,52815.5
1628096266,12.6,64275.6,5820.9,52815.4
1628096267,13.6,64275.6,5820.9,52815.4
1628096268,14.7,64275.6,5820.9,52815.5
1628096269,13.9,64275.6,5820.9,52815.5
1628096270,12.9,64275.6,5820.9,52816.3
1628096271,13.0,64275.6,5820.9,52815.5
1628096272,13.9,64275.6,5820.9,52815.5
1628096273,13.4,64275.6,5820.9,52815.5
1628096274,13.4,64275.6,5820.9,52815.5
1628096275,13.4,64275.6,5820.9,52815.9
1628096276,13.4,64275.6,5820.9,52815.6
1628096277,12.5,64275.6,5820.9,52815.6
1628096278,15.1,64275.6,5820.9,52815.6
1628096279,13.6,64275.6,5820.9,52815.6
1628096280,12.9,64275.6,5820.9,52815.9
1628096281,15.4,64275.6,5820.9,52815.6
1628096282,13.4,64275.6,5820.9,52815.7
1628096283,13.7,64275.6,5820.9,52815.7
1628096284,13.6,64275.6,5820.9,52815.7
1628096285,14.2,64275.6,5820.9,52816.0
1628096286,12.6,64275.6,5820.9,52816.0
1628096287,12.8,64275.6,5820.9,52815.8
1628096288,13.1,64275.6,5820.9,52815.8
1628096289,13.4,64275.6,5820.9,52815.8
1628096290,12.7,64275.6,5820.9,52822.9
1628096291,16.2,64275.6,5820.9,52815.7
1628096292,12.8,64275.6,5820.9,52815.8
1628096293,14.5,64275.6,5820.9,52815.8
1628096294,14.2,64275.6,5820.9,52816.0
1628096295,13.6,64275.6,5820.9,52816.2
1628096296,12.5,64275.6,5820.9,52816.4
1628096297,13.7,64275.6,5820.9,52816.2
1628096298,15.1,64275.6,5820.9,52816.2
1628096299,12.9,64275.6,5820.9,52816.2
1628096300,13.9,64275.6,5820.9,52816.9
1628096301,14.0,64275.6,5820.9,52816.9
1628096302,13.0,64275.6,5820.9,52828.1
1628096303,17.9,64275.6,5820.9,52817.2
1628096304,14.1,64275.6,5820.9,52817.6
1628096305,13.8,64275.6,5820.9,52818.4
1628096306,13.0,64275.6,5820.9,52818.3
1628096307,14.0,64275.6,5820.9,52820.0
1628096308,14.8,64275.6,5820.9,52820.4
1628096309,13.2,64275.6,5820.9,52820.7
1628096310,15.8,64275.6,5820.9,52846.4
1628096311,15.6,64275.6,5820.9,52846.3
1628096312,13.7,64275.6,5820.9,52856.1
1628096313,13.1,64275.6,5820.9,52847.0
1628096314,12.9,64275.6,5820.9,52821.8
1628096315,13.5,64275.6,5820.9,52822.3
1628096316,13.4,64275.6,5820.9,52823.0
1628096317,14.5,64275.6,5820.9,52823.4
1628096318,13.4,64275.6,5820.9,52824.9
1628096319,12.9,64275.6,5820.9,52825.6
1628096320,13.8,64275.6,5820.9,52826.5
1628096322,15.2,64275.6,5820.9,52785.8
1628096323,13.3,64275.6,5820.9,52793.8
1628096324,14.4,64275.6,5820.9,52745.2
1628096325,13.5,64275.6,5820.9,52744.9
1628096326,14.0,64275.6,5820.9,52705.0
1628096327,13.3,64275.6,5820.9,52704.8
1628096328,13.8,64275.6,5820.9,52704.7
1628096329,14.9,64275.6,5820.9,52704.8
1628096330,14.0,64275.6,5820.9,52676.3
1628096331,12.8,64275.6,5820.9,52688.5
1628096332,13.1,64275.6,5820.9,52688.8
1628096333,14.5,64275.6,5820.9,52621.6
1628096334,13.7,64275.6,5820.9,52417.0
1628096335,14.6,64275.6,5820.9,52334.8
1628096336,9.2,64275.6,5820.9,52171.4
1628096337,6.7,64275.6,5820.9,52170.9
1628096338,6.4,64275.6,5820.9,52170.8
1628096339,8.5,64275.6,5820.9,52170.8
1628096340,7.4,64275.6,5820.9,52170.8
1628096341,7.3,64275.6,5820.9,52171.0
1628096342,8.8,64275.6,5820.9,52170.7
1628096343,8.1,64275.6,5820.9,52170.7
1628096344,6.6,64275.6,5820.9,52170.8
1628096345,7.9,64275.6,5820.9,52170.8
1628096346,7.7,64275.6,5820.9,52171.2
1628096347,6.3,64275.6,5820.9,52170.9
1628096348,6.8,64275.6,5820.9,52170.9
1628096349,6.6,64275.6,5820.9,52170.9
1628096350,7.1,64275.6,5820.9,52170.9
1628096351,9.1,64275.6,5820.9,52171.0
1628096352,7.3,64275.6,5820.9,52171.4
1628096353,7.9,64275.6,5820.9,52170.4
1628096354,6.6,64275.6,5820.9,52170.9
1628096355,8.2,64275.6,5820.9,52170.9
1628096356,7.6,64275.6,5820.9,52171.7
1628096357,6.2,64275.6,5820.9,52171.9
1628096358,7.7,64275.6,5820.9,52171.9
1628096359,8.2,64275.6,5820.9,52171.7
1628096360,7.1,64275.6,5820.9,52171.7
1628096361,6.5,64275.6,5820.9,52171.8
1628096362,8.3,64275.6,5820.9,52172.2
1628096363,7.5,64275.6,5820.9,52171.7
1628096364,8.3,64275.6,5820.9,52171.6
1628096365,12.0,64275.6,5820.9,52171.7
1628096366,7.2,64275.6,5820.9,52171.9
1628096367,6.5,64275.6,5820.9,52171.8
1628096368,7.6,64275.6,5820.9,52172.0
1628096369,8.4,64275.6,5820.9,52171.9
1628096370,7.4,64275.6,5820.9,52171.9
1628096371,8.8,64275.6,5820.9,52172.0
1628096372,7.1,64275.6,5820.9,52171.8
1628096373,8.1,64275.6,5820.9,52171.4
1628096374,7.2,64275.6,5820.9,52179.0
1628096375,7.4,64275.6,5820.9,52171.9
1628096376,6.9,64275.6,5820.9,52172.2
1628096377,7.2,64275.6,5820.9,52171.9
1628096378,7.3,64275.6,5820.9,52171.9
1628096379,7.2,64275.6,5820.9,52172.0
1628096380,6.5,64275.6,5820.9,52172.0
